model,v,bulk_gap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum
model_c_t34_soc34_only,0.1,1.5113389222328681,0.6045355688931473,80,1.789500339494069e-17,0.31622776601683905,0.39996000000000015,0.59998,5.999999999994011e-05
model_c_t34_soc34_only,0.2,1.3147228770131711,0.5258891508052684,80,3.025132657465539e-14,0.3162277660168687,0.3993600000026696,0.599680000001335,0.0009599999959956052
model_c_t34_soc34_only,0.3,1.1190422434238938,0.44761689736955756,80,9.130718625087243e-11,0.3162277661081461,0.39676000187159144,0.5983800009357957,0.004859997192613038
model_c_t34_soc34_only,0.4,0.9247395985822477,0.3698958394328991,80,2.4533439308370077e-08,0.3162277905502779,0.3897602137486712,0.5948801068743355,0.015359679376993188
model_c_t34_soc34_only,0.5,0.7325810821533132,0.2930324328613253,76,1.6963922868779326e-06,0.000716356848564085,0.3484859393780504,0.6122601622885964,0.03925389833335348
model_c_t34_soc34_only,0.6,0.5440047606874248,0.21760190427496992,76,4.737091840966625e-05,0.0037956809276394783,0.32677076074516487,0.5925608351521993,0.08066840410263586
model_c_t34_soc34_only,0.7,0.3620052322956887,0.14480209291827548,76,0.0006598064499955345,0.014210560950338158,0.2915284530087149,0.5633572219783245,0.14511432501296093
model_c_t34_soc34_only,0.8,0.19367418534244046,0.0774696741369762,76,0.005009455979049223,0.039496338327341896,0.2439452024525049,0.5288602236375018,0.22719457390999326
model_c_t34_soc34_only,0.9,0.057937972660556177,0.023175189064222473,4,0.02177402190916344,0.021774021909163863,0.24403480841438813,0.4999279710516559,0.2560372205339559
model_c_t34_soc34_only,1.0,7.622553749832773e-32,0.02,2,0.05945989195019771,0.059459891950197775,0.1530663614056591,0.47634120366970983,0.3705924349246312
model_c_t34_soc34_only,1.1,0.05793797266055629,0.023175189064222515,2,0.11737864182794698,0.11737864182794704,0.10409802790054995,0.43708846408311364,0.45881350801633636
model_c_t34_soc34_only,1.2,0.1936741853424404,0.07746967413697617,2,0.1894381851287271,0.18943818512872712,0.07729953026421019,0.4014568009251219,0.5212436688106679
model_c_t34_soc34_only,1.3,0.3620052322956887,0.14480209291827548,2,0.27031557933703754,0.27031557933703815,0.06165592268570024,0.3733003682750232,0.5650437090392763
model_c_t34_soc34_only,1.4,0.5440047606874245,0.21760190427496984,2,0.35667028815637414,0.3566702881563748,0.051859689683131135,0.35173507360628725,0.5964052367105813
model_c_t34_soc34_only,1.5,0.7325810821533132,0.2930324328613253,2,0.4465437809310453,0.4465437809310477,0.04533223540641036,0.33516289048004133,0.6195048741135484
model_c_t34_soc34_only,1.6,0.9247395985822479,0.36989583943289917,2,0.5387725310071578,0.5387725310071595,0.04075252236399002,0.32224003506366267,0.6370074425723475
